"cpd","compoundclass","ko","referenceAG","compoundname","genesymbol","genename","enzyme_activity"
"C00829","Polyaromatic","K07413","IARC2B","Naphthalene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06604","Organophosphorus","K07413","IARC2B","Parathion","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06604","Organophosphorus","K07413","ATSDR","Parathion","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06604","Nitrogen-containing","K07413","IARC2B","Parathion","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06604","Nitrogen-containing","K07413","ATSDR","Parathion","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06604","Aromatic","K07413","IARC2B","Parathion","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06604","Aromatic","K07413","ATSDR","Parathion","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Chlorinated","K07413","EPC","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Chlorinated","K07413","PSL","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Chlorinated","K07413","CONAMA","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Chlorinated","K07413","ATSDR","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Chlorinated","K07413","IARC1","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Chlorinated","K07413","EPA","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Aliphatic","K07413","EPC","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Aliphatic","K07413","PSL","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Aliphatic","K07413","CONAMA","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Aliphatic","K07413","ATSDR","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Aliphatic","K07413","IARC1","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06790","Aliphatic","K07413","EPA","Trichloroethene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C06800","Aromatic","K07413","IARC1","Aflatoxin B1","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07108","Polyaromatic","K07413","IARC1","Tamoxifen","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07108","Nitrogen-containing","K07413","IARC1","Tamoxifen","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","IARC1","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","EPC","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","ATSDR","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","EPA","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","WFD","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","PSL","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C07535","Polyaromatic","K07413","CONAMA","Benzo[a]pyrene","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C14866","Chlorinated","K07413","IARC2A","Chloral","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C14866","Aliphatic","K07413","IARC2A","Chloral","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C16453","Nitrogen-containing","K07413","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C16453","Aliphatic","K07413","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C16756","Aromatic","K07413","IARC2B","Aflatoxin M1","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C16756","Aromatic","K07413","IARC1","Aflatoxin M1","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C19585","Aromatic","K07413","IARC1","Aflatoxin Q1","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C19586","Aromatic","K07413","IARC1","Aflatoxin B1-exo-8,9-epoxide","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C19594","Aromatic","K07413","IARC1","Aflatoxin-M1-8,9-epoxide","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C19595","Aromatic","K07413","IARC1","Aflatoxin B1-endo-8,9-epoxide","CYP2C","cytochrome P450 family 2 subfamily C","cytochrome P450"
"C00067","Aliphatic","K07414","ATSDR","Formaldehyde","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00067","Aliphatic","K07414","PSL","Formaldehyde","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00067","Aliphatic","K07414","IARC1","Formaldehyde","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07414","ATSDR","Naphthalene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07414","EPC","Naphthalene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07414","CONAMA","Naphthalene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07414","WFD","Naphthalene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07414","IARC2B","Naphthalene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07414","EPA","Naphthalene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06604","Organophosphorus","K07414","IARC2B","Parathion","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06604","Organophosphorus","K07414","ATSDR","Parathion","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06604","Nitrogen-containing","K07414","IARC2B","Parathion","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06604","Nitrogen-containing","K07414","ATSDR","Parathion","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06604","Aromatic","K07414","IARC2B","Parathion","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06604","Aromatic","K07414","ATSDR","Parathion","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Chlorinated","K07414","EPC","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Chlorinated","K07414","ATSDR","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Chlorinated","K07414","PSL","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Chlorinated","K07414","CONAMA","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Chlorinated","K07414","IARC1","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Chlorinated","K07414","EPA","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Aliphatic","K07414","EPC","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Aliphatic","K07414","ATSDR","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Aliphatic","K07414","PSL","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Aliphatic","K07414","CONAMA","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Aliphatic","K07414","IARC1","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06790","Aliphatic","K07414","EPA","Trichloroethene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C06800","Aromatic","K07414","IARC1","Aflatoxin B1","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07108","Polyaromatic","K07414","IARC1","Tamoxifen","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07108","Nitrogen-containing","K07414","IARC1","Tamoxifen","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","EPC","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","IARC1","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","ATSDR","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","EPA","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","CONAMA","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","WFD","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C07535","Polyaromatic","K07414","PSL","Benzo[a]pyrene","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C14866","Chlorinated","K07414","IARC2A","Chloral","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C14866","Aliphatic","K07414","IARC2A","Chloral","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C16453","Nitrogen-containing","K07414","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C16453","Aliphatic","K07414","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C16756","Aromatic","K07414","IARC2B","Aflatoxin M1","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C16756","Aromatic","K07414","IARC1","Aflatoxin M1","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C19585","Aromatic","K07414","IARC1","Aflatoxin Q1","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C19586","Aromatic","K07414","IARC1","Aflatoxin B1-exo-8,9-epoxide","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C19594","Aromatic","K07414","IARC1","Aflatoxin-M1-8,9-epoxide","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C19595","Aromatic","K07414","IARC1","Aflatoxin B1-endo-8,9-epoxide","CYP2D","cytochrome P450 family 2 subfamily D","cytochrome P450"
"C00829","Polyaromatic","K07415","EPC","Naphthalene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C00829","Polyaromatic","K07415","CONAMA","Naphthalene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C00829","Polyaromatic","K07415","WFD","Naphthalene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C00829","Polyaromatic","K07415","ATSDR","Naphthalene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C00829","Polyaromatic","K07415","IARC2B","Naphthalene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C00829","Polyaromatic","K07415","EPA","Naphthalene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Chlorinated","K07415","EPC","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Chlorinated","K07415","ATSDR","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Chlorinated","K07415","PSL","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Chlorinated","K07415","CONAMA","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Chlorinated","K07415","IARC1","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Chlorinated","K07415","EPA","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Aliphatic","K07415","EPC","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Aliphatic","K07415","ATSDR","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Aliphatic","K07415","PSL","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Aliphatic","K07415","CONAMA","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Aliphatic","K07415","IARC1","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C06790","Aliphatic","K07415","EPA","Trichloroethene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C11088","Organometallic","K07415","IARC2A","1,2-Dibromoethane","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C11088","Organometallic","K07415","ATSDR","1,2-Dibromoethane","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C11150","Chlorinated","K07415","IARC2B","Trichloroacetate","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C11150","Aliphatic","K07415","IARC2B","Trichloroacetate","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14039","Chlorinated","K07415","ATSDR","1,1-Dichloroethylene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14039","Chlorinated","K07415","EPA","1,1-Dichloroethylene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14039","Chlorinated","K07415","CONAMA","1,1-Dichloroethylene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14039","Aliphatic","K07415","ATSDR","1,1-Dichloroethylene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14039","Aliphatic","K07415","EPA","1,1-Dichloroethylene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14039","Aliphatic","K07415","CONAMA","1,1-Dichloroethylene","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14866","Chlorinated","K07415","IARC2A","Chloral","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C14866","Aliphatic","K07415","IARC2A","Chloral","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C16453","Nitrogen-containing","K07415","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C16453","Aliphatic","K07415","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2E1","cytochrome P450 family 2 subfamily E1","cytochrome P450"
"C00067","Aliphatic","K07416","PSL","Formaldehyde","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00067","Aliphatic","K07416","IARC1","Formaldehyde","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00067","Aliphatic","K07416","ATSDR","Formaldehyde","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00829","Polyaromatic","K07416","EPC","Naphthalene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00829","Polyaromatic","K07416","ATSDR","Naphthalene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00829","Polyaromatic","K07416","CONAMA","Naphthalene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00829","Polyaromatic","K07416","WFD","Naphthalene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00829","Polyaromatic","K07416","IARC2B","Naphthalene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00829","Polyaromatic","K07416","EPA","Naphthalene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06604","Organophosphorus","K07416","ATSDR","Parathion","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06604","Organophosphorus","K07416","IARC2B","Parathion","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06604","Nitrogen-containing","K07416","ATSDR","Parathion","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06604","Nitrogen-containing","K07416","IARC2B","Parathion","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06604","Aromatic","K07416","ATSDR","Parathion","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06604","Aromatic","K07416","IARC2B","Parathion","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Chlorinated","K07416","EPC","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Chlorinated","K07416","ATSDR","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Chlorinated","K07416","PSL","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Chlorinated","K07416","IARC1","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Chlorinated","K07416","EPA","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Chlorinated","K07416","CONAMA","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Aliphatic","K07416","EPC","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Aliphatic","K07416","ATSDR","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Aliphatic","K07416","PSL","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Aliphatic","K07416","IARC1","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Aliphatic","K07416","EPA","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06790","Aliphatic","K07416","CONAMA","Trichloroethene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C06800","Aromatic","K07416","IARC1","Aflatoxin B1","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07108","Polyaromatic","K07416","IARC1","Tamoxifen","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07108","Nitrogen-containing","K07416","IARC1","Tamoxifen","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","EPC","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","IARC1","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","ATSDR","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","EPA","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","CONAMA","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","WFD","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C07535","Polyaromatic","K07416","PSL","Benzo[a]pyrene","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C14866","Chlorinated","K07416","IARC2A","Chloral","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C14866","Aliphatic","K07416","IARC2A","Chloral","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C16453","Nitrogen-containing","K07416","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C16453","Aliphatic","K07416","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C16756","Aromatic","K07416","IARC2B","Aflatoxin M1","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C16756","Aromatic","K07416","IARC1","Aflatoxin M1","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C19585","Aromatic","K07416","IARC1","Aflatoxin Q1","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C19586","Aromatic","K07416","IARC1","Aflatoxin B1-exo-8,9-epoxide","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C19594","Aromatic","K07416","IARC1","Aflatoxin-M1-8,9-epoxide","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C19595","Aromatic","K07416","IARC1","Aflatoxin B1-endo-8,9-epoxide","CYP2F","cytochrome P450 family 2 subfamily F","cytochrome P450"
"C00067","Aliphatic","K07418","ATSDR","Formaldehyde","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00067","Aliphatic","K07418","PSL","Formaldehyde","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00067","Aliphatic","K07418","IARC1","Formaldehyde","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00829","Polyaromatic","K07418","WFD","Naphthalene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00829","Polyaromatic","K07418","ATSDR","Naphthalene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00829","Polyaromatic","K07418","EPC","Naphthalene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00829","Polyaromatic","K07418","EPA","Naphthalene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00829","Polyaromatic","K07418","CONAMA","Naphthalene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00829","Polyaromatic","K07418","IARC2B","Naphthalene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06604","Organophosphorus","K07418","ATSDR","Parathion","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06604","Organophosphorus","K07418","IARC2B","Parathion","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06604","Nitrogen-containing","K07418","ATSDR","Parathion","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06604","Nitrogen-containing","K07418","IARC2B","Parathion","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06604","Aromatic","K07418","ATSDR","Parathion","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06604","Aromatic","K07418","IARC2B","Parathion","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Chlorinated","K07418","EPC","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Chlorinated","K07418","PSL","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Chlorinated","K07418","IARC1","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Chlorinated","K07418","ATSDR","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Chlorinated","K07418","CONAMA","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Chlorinated","K07418","EPA","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Aliphatic","K07418","EPC","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Aliphatic","K07418","PSL","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Aliphatic","K07418","IARC1","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Aliphatic","K07418","ATSDR","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Aliphatic","K07418","CONAMA","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06790","Aliphatic","K07418","EPA","Trichloroethene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C06800","Aromatic","K07418","IARC1","Aflatoxin B1","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07108","Polyaromatic","K07418","IARC1","Tamoxifen","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07108","Nitrogen-containing","K07418","IARC1","Tamoxifen","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","EPA","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","EPC","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","IARC1","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","ATSDR","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","WFD","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","PSL","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C07535","Polyaromatic","K07418","CONAMA","Benzo[a]pyrene","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C14866","Chlorinated","K07418","IARC2A","Chloral","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C14866","Aliphatic","K07418","IARC2A","Chloral","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C16453","Nitrogen-containing","K07418","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C16453","Aliphatic","K07418","IARC1","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C16756","Aromatic","K07418","IARC2B","Aflatoxin M1","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C16756","Aromatic","K07418","IARC1","Aflatoxin M1","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C19585","Aromatic","K07418","IARC1","Aflatoxin Q1","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C19586","Aromatic","K07418","IARC1","Aflatoxin B1-exo-8,9-epoxide","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C19594","Aromatic","K07418","IARC1","Aflatoxin-M1-8,9-epoxide","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C19595","Aromatic","K07418","IARC1","Aflatoxin B1-endo-8,9-epoxide","CYP2J","cytochrome P450 family 2 subfamily J","cytochrome P450"
"C00067","Aliphatic","K07420","ATSDR","Formaldehyde","CYP2S1","cytochrome P450 family 2 subfamily S1","cytochrome P450"
"C00067","Aliphatic","K07420","PSL","Formaldehyde","CYP2S1","cytochrome P450 family 2 subfamily S1","cytochrome P450"
