"cpd";"compoundclass";"ko";"ec";"reaction";"referenceAG";"compoundname";"genesymbol";"genename";"enzyme_activity"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R04880";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R05233";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R05234";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R08281";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R08306";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R08310";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R06917";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00084";"Aliphatic";"K00001";"1.1.1.1";"R06927";"PSL";"Acetaldehyde";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R04805";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R00623";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R08281";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R08310";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R06917";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R08306";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R02124";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R07105";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R00754";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R05234";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R05233";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R06927";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C00469";"Aliphatic";"K00001";"1.1.1.1";"R04880";"IARC1";"Ethanol";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00754";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04880";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04805";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05234";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R07105";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05233";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04805";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05233";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00623";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00754";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00754";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04805";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R02124";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R02124";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00754";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06927";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00623";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R02124";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08281";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06927";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06927";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00623";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05234";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08306";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06917";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00754";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06917";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00623";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08310";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08310";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05234";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R02124";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08310";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04880";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04880";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06927";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08306";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R07105";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R07105";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05233";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08281";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R00623";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06927";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04880";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08310";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08306";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08306";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08281";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04805";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R07105";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05233";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04880";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R04805";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08281";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05233";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05234";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06917";"EPC";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06917";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R07105";"WFD";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08310";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R02124";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R06917";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08306";"IARC2A";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R05234";"EPA";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06696";"Metal";"K00001";"1.1.1.1";"R08281";"ATSDR";"Lead";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R00754";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R06917";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R06927";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R05234";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R05233";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R04805";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R02124";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R04880";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R08310";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R00623";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R07105";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R08306";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Sulfur-containing";"K00001";"1.1.1.1";"R08281";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R00754";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R06917";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R06927";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R05234";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R05233";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R04805";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R02124";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R04880";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R08310";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
